latitude,longitude,altitude,geometry,value
17.17087061509331,-89.12172829282866,,Point,300.5443420410156
17.07170791509331,-89.14172749282866,,Point,684.4826049804688
17.07504111509331,-89.13339449282866,,Point,730.9739990234375
17.066708115093313,-89.13339449282866,,Point,704.01025390625
17.063374915093313,-89.14256079282866,,Point,486.6960144042969
17.08420741509331,-89.13006129282866,,Point,185.33457946777344
17.08087421509331,-89.14256079282866,,Point,245.84202575683594
17.065874815093313,-89.15256039282866,,Point,42.9058837890625
17.07504111509331,-89.15172709282865,,Point,39.012672424316406
17.07587441509331,-89.12506149282866,,Point,255.09596252441406
17.09004051509331,-89.13922759282866,,Point,47.199459075927734
17.09337371509331,-89.13089459282865,,Point,43.458011627197266
17.057541815093312,-89.15339369282866,,Point,52.150634765625
17.08504071509331,-89.12172829282866,,Point,49.084259033203125
17.055041915093312,-89.14506069282865,,Point,131.11390686035156
17.06754141509331,-89.12506149282866,,Point,210.4951934814453
17.09420701509331,-89.12256159282866,,Point,23.806516647338867
17.08420741509331,-89.15172709282865,,Point,25.421213150024414
17.058375115093313,-89.13422779282865,,Point,212.8722381591797
17.15503791509331,-89.07756339282865,,Point,12480.470703125
17.16170431509331,-89.06756379282865,,Point,4917.36279296875
17.15753781509331,-89.08672969282865,,Point,4367.8515625
17.146704915093313,-89.07756339282865,,Point,9223.7841796875
17.15337131509331,-89.06923039282866,,Point,8542.9775390625
17.142538415093313,-89.08756299282865,,Point,2029.5084228515625
17.144205015093313,-89.06923039282866,,Point,3890.96923828125
17.138371915093312,-89.07922999282866,,Point,2929.90185546875
17.130038915093312,-89.08089659282865,,Point,510.3843994140625
17.135872015093312,-89.07089699282865,,Point,1482.1539306640625
17.16587081509331,-89.05839749282866,,Point,942.5202026367188
17.16337091509331,-89.04923119282866,,Point,610.3363037109375
17.15587121509331,-89.05839749282866,,Point,535.7386474609375
17.17503711509331,-89.05756419282866,,Point,438.74530029296875
17.16420421509331,-89.07673009282865,,Point,5346.009765625
17.17087061509331,-89.06756379282865,,Point,468.3359069824219
17.17253721509331,-89.04923119282866,,Point,366.40679931640625
17.16670411509331,-89.08839629282866,,Point,368.8524169921875
17.17337051509331,-89.07673009282865,,Point,64.47126007080078
17.15587121509331,-89.09589599282866,,Point,60.69013595581055
17.18003691509331,-89.06756379282865,,Point,98.25259399414062
17.17587041509331,-89.08589639282866,,Point,52.59089279174805
17.15503791509331,-89.05006449282865,,Point,344.1390075683594
17.18253681509331,-89.07673009282865,,Point,52.44182586669922
17.18170351509331,-89.04923119282866,,Point,80.46586608886719
17.17753701509331,-89.04089819282866,,Point,49.10346221923828
17.16920401509331,-89.04089819282866,,Point,172.08473205566406
17.16503751509331,-89.09922919282866,,Point,48.37482833862305
17.144205015093313,-89.09672929282866,,Point,44.702980041503906
17.130038915093312,-89.06006409282865,,Point,34.4466667175293
17.147538215093313,-89.06089739282866,,Point,630.8361206054688
17.18420341509331,-89.05839749282866,,Point,45.47905349731445
17.19170311509331,-89.07339689282865,,Point,40.5200309753418
17.16087101509331,-89.04089819282866,,Point,189.2935028076172
17.18503671509331,-89.08589639282866,,Point,40.57036209106445
17.134205415093312,-89.09006289282866,,Point,545.3109130859375
17.16587081509331,-89.10839549282866,,Point,35.80656814575195
17.15670451509331,-89.10506229282866,,Point,35.07920455932617
17.18587001509331,-89.01673249282865,,Point,15.922750473022461
17.146704915093313,-89.05256439282866,,Point,54.310577392578125
17.17670371509331,-89.09506269282866,,Point,37.209285736083984
17.134205415093312,-89.05173109282866,,Point,30.565486907958984
17.17503711509331,-89.11339529282866,,Point,28.055789947509766
17.18670331509331,-89.04089819282866,,Point,30.64945411682129
17.19420301509331,-89.08256319282866,,Point,28.136249542236328
17.17920361509331,-89.03256519282866,,Point,29.74964141845703
17.16670411509331,-89.11756179282865,,Point,21.320270538330078
17.19336971509331,-89.06506389282866,,Point,30.730960845947266
17.17503711509331,-89.10506229282866,,Point,30.738100051879883
17.152538015093313,-89.04173149282866,,Point,71.59381103515625
17.135872015093312,-89.09922919282866,,Point,30.233625411987305
17.18587001509331,-89.09506269282866,,Point,25.163209915161133
17.14837151509331,-89.10589559282866,,Point,25.504085540771484
17.07754101509331,-89.12089499282865,,Point,129.53843688964844
17.08670731509331,-89.12089499282865,,Point,129.11990356445312
17.10337331509331,-89.11339529282866,,Point,152.74781799316406
17.06920801509331,-89.12089499282865,,Point,89.38941192626953
17.08087421509331,-89.02339889282865,,Point,182.7115478515625
17.08004091509331,-89.03256519282866,,Point,154.13670349121094
17.10420661509331,-89.10506229282866,,Point,132.2164764404297
17.90000811509331,-88.90840349282865,,Point,285.2024230957031
17.89084181509331,-88.93006929282866,,Point,365.94598388671875
17.215868815093312,-88.94340209282866,,Point,69.44816589355469
17.218368715093312,-88.93506909282866,,Point,88.33323669433594
17.215868815093312,-88.95256839282865,,Point,48.290916442871094
17.24586761509331,-88.96423459282866,,Point,117.65528869628906
17.24586761509331,-88.95340169282866,,Point,117.33219146728516
17.227535015093313,-88.93256919282865,,Point,112.57239532470703
17.25503391509331,-88.95923479282865,,Point,110.36349487304688
17.223368515093313,-88.92423619282866,,Point,105.49583435058594
17.24503431509331,-88.94256879282865,,Point,106.86664581298828
17.23253481509331,-88.92423619282866,,Point,90.1216049194336
17.25503391509331,-88.96840109282866,,Point,107.08647155761719
17.24670091509331,-88.97590079282865,,Point,94.50340270996094
17.25420061509331,-88.94256879282865,,Point,94.650634765625
17.227535015093313,-88.91590319282865,,Point,86.83943939208984
17.225035115093313,-88.94423539282866,,Point,94.36255645751953
